rank,island_id,faces,summed_uv_area,min_u,min_v,max_u,max_v
1611,1929,3,0.00010534121492311588,0.057597946375608444,0.8706486225128174,0.06320444494485855,0.8928127288818359
1612,1932,3,1.8309162630458786e-05,0.7940317988395691,0.8959178924560547,0.7963793873786926,0.9131544828414917
1613,1940,3,8.884200530800967e-05,0.9365819692611694,0.6561138033866882,0.949630856513977,0.6645681262016296
1614,1950,3,4.2738000889386285e-05,0.9688326120376587,0.9214622974395752,0.9760131239891052,0.9271496534347534
1615,1953,3,0.00011853854872789782,0.4296800494194031,0.9377778172492981,0.43886080384254456,0.9500368237495422
1616,1970,3,9.361195711932169e-06,0.9688326120376587,0.698737382888794,0.9766177535057068,0.7004026770591736
1617,1975,3,4.470853112970019e-05,0.11750783026218414,0.967793881893158,0.12643572688102722,0.977013885974884
1618,2018,3,2.531502866887081e-06,0.9805991649627686,0.5188459753990173,0.9869940876960754,0.5194692015647888
1619,2026,3,3.0977819598376755e-07,0.7511038184165955,0.9806400537490845,0.751220166683197,0.9852798581123352
1620,2030,3,3.0657179372894916e-07,0.2959907650947571,0.9894641637802124,0.2960888743400574,0.9932071566581726
1621,2037,3,9.766424035717591e-06,0.7263556122779846,0.9806400537490845,0.7304544448852539,0.9851289987564087
1622,2050,3,9.73457933328703e-05,0.894639253616333,0.42319613695144653,0.9138790965080261,0.4298180043697357
1623,2052,3,0.00011575148915632383,0.8500039577484131,0.9377777576446533,0.8568441867828369,0.9496075510978699
1624,2054,3,8.522872490601685e-05,0.8366197347640991,0.7658535242080688,0.8616603016853333,0.7694705128669739
1625,2067,3,9.792504308947514e-05,0.2525203824043274,0.9176657199859619,0.26318129897117615,0.933819591999054
1626,2104,3,7.368875076085857e-05,0.3920438587665558,0.9377778172492981,0.39881086349487305,0.9501994848251343
1627,2106,3,0.00010782471730585996,0.4888341426849365,0.9176657795906067,0.49696364998817444,0.9335484504699707
1628,2118,3,4.775716829463761e-05,0.6961916089057922,0.9176657795906067,0.7018750309944153,0.9333933591842651
1629,2133,3,4.807944288032218e-06,0.9688326716423035,0.96844482421875,0.97614586353302,0.9699372053146362
1630,2159,3,9.722684887947253e-05,0.47562673687934875,0.9176657795906067,0.4857598841190338,0.9334511160850525
1631,2180,3,1.0927801643134671e-05,0.8375344276428223,0.9539369344711304,0.839292585849762,0.963827908039093
1632,2184,3,7.444253578015037e-07,0.9805991649627686,0.36141854524612427,0.9873173236846924,0.3615744411945343
1633,2200,3,0.00010762930447594243,0.31125926971435547,0.8959178328514099,0.3174076974391937,0.9139571785926819
1634,2208,3,8.36901344638541e-05,0.9538222551345825,0.15544536709785461,0.9653878808021545,0.16115596890449524
1635,2209,3,6.70288462618629e-05,0.9538223147392273,0.26099780201911926,0.9652384519577026,0.26809820532798767
1636,2214,3,1.1223709357466305e-06,0.19476404786109924,0.9806400537490845,0.195106640458107,0.9860950708389282
1637,2270,3,0.00016549048006897493,0.41708067059516907,0.8706486225128174,0.4270465672016144,0.8916654586791992
1638,2305,3,1.81184895229336e-05,0.9688326716423035,0.2971634566783905,0.9771705269813538,0.3000306487083435
1639,2311,3,8.565228020707139e-05,0.07202054560184479,0.9377777576446533,0.07938070595264435,0.9505255818367004
1640,2313,3,5.573880135223419e-07,0.20124734938144684,0.9894641637802124,0.20145776867866516,0.9933485984802246
1641,2324,3,1.6594193805730129e-06,0.9805991649627686,0.5539116263389587,0.986968457698822,0.5542701482772827
1642,2325,3,2.7109146270021256e-06,0.9805992245674133,0.8988823294639587,0.9864538311958313,0.8994046449661255
1643,2337,3,5.651171046050507e-05,0.9688326716423035,0.38302159309387207,0.9767932891845703,0.3907245099544525
1644,2340,3,3.715256422509583e-07,0.5021446347236633,0.9894641041755676,0.5023253560066223,0.9929391741752625
1645,2341,3,4.6263424025028144e-07,0.8714937567710876,0.9806400537490845,0.8717045187950134,0.9850543141365051
1646,2342,3,8.820546337773294e-07,0.8088433146476746,0.9806400537490845,0.8090922236442566,0.9851855635643005
1647,2348,3,8.070177806018819e-07,0.36463797092437744,0.9894641041755676,0.36491501331329346,0.9930945634841919
1648,2355,3,7.656988660897923e-06,0.9688326120376587,0.40754181146621704,0.977074146270752,0.4095201790332794
1649,2392,3,1.1573814751031364e-06,0.4579794406890869,0.9806400537490845,0.458263635635376,0.9857007265090942
1650,2426,3,7.522290985662039e-07,0.34831464290618896,0.9806401133537292,0.34851187467575073,0.9858404994010925
1651,2460,3,9.261866257048723e-06,0.7772454619407654,0.980640172958374,0.7796393036842346,0.9851080775260925
1652,2476,3,2.074970773868756e-06,0.4918295741081238,0.9806401133537292,0.49236494302749634,0.9856544733047485
1653,2484,3,8.856295714343432e-05,0.894639253616333,0.22620944678783417,0.9142805337905884,0.23336225748062134
1654,2486,3,5.9638022593233586e-05,0.7697573900222778,0.9677938222885132,0.7770218253135681,0.9764291644096375
