rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
821,1031,102,173,173,0.271026611328125,0.08562472462654114,0.2410431057214737,0.2843017578125,0.09811404347419739,0.250152587890625,"{""0"": 173}"
822,897,108,172,172,0.1906891018152237,0.04527666047215462,0.2955780029296875,0.2035370022058487,0.06359865516424179,0.31756591796875,"{""0"": 172}"
823,493,100,170,170,-0.08911128342151642,-0.27947998046875,0.5363922119140625,-0.08090968430042267,-0.263427734375,0.5436859130859375,"{""0"": 170}"
824,633,105,170,170,0.0022148992866277695,0.2303619384765625,0.3298492431640625,0.015643110498785973,0.2391357421875,0.3548583984375,"{""0"": 170}"
825,317,112,167,167,-0.1979064643383026,-0.2171020656824112,0.6920318603515625,-0.1827239692211151,-0.1955566555261612,0.7195587158203125,"{""0"": 167}"
826,531,108,166,166,-0.06289667636156082,-0.340057373046875,0.5974349975585938,-0.04364771395921707,-0.331268310546875,0.62762451171875,"{""0"": 166}"
827,259,105,164,164,-0.2209014594554901,-0.1647033989429474,0.47180938720703125,-0.2028960883617401,-0.1446075737476349,0.503300666809082,"{""0"": 164}"
828,557,100,164,164,-0.04627228155732155,0.1820068210363388,0.290191650390625,-0.02851295657455921,0.2007903903722763,0.312103271484375,"{""0"": 164}"
829,1046,109,164,164,0.276824951171875,0.19480900466442108,0.5750656127929688,0.29327392578125,0.21049503982067108,0.5937881469726562,"{""0"": 164}"
830,532,106,163,163,-0.06095880642533302,-0.346649169921875,0.5813980102539062,-0.05348199978470802,-0.34136962890625,0.6044692993164062,"{""0"": 163}"
831,701,102,163,163,0.06185155361890793,-0.30352783203125,0.5409278869628906,0.07570653408765793,-0.28167724609375,0.5464019775390625,"{""0"": 163}"
832,492,101,161,161,-0.08887476474046707,-0.31231689453125,0.49148380756378174,-0.07977289706468582,-0.298980712890625,0.5063915252685547,"{""0"": 161}"
833,727,99,160,160,0.08982854336500168,-0.309967041015625,0.5462532043457031,0.09695439785718918,-0.288482666015625,0.5545196533203125,"{""0"": 160}"
834,341,100,158,158,-0.1911316215991974,0.2984618842601776,0.6072845458984375,-0.1869201958179474,0.3187255561351776,0.626129150390625,"{""0"": 158}"
835,440,100,158,158,-0.1385345458984375,0.1434936225414276,0.2435150146484375,-0.1314544677734375,0.1518706977367401,0.26336669921875,"{""0"": 158}"
836,983,96,156,156,0.2303314357995987,-0.021968815475702286,0.410400390625,0.2508544921875,-0.0044932072050869465,0.4259033203125,"{""0"": 156}"
837,997,100,155,155,0.2456054538488388,0.21929936110973358,0.6473541259765625,0.2496185153722763,0.2268677055835724,0.6702117919921875,"{""0"": 155}"
838,593,96,153,153,-0.02606767602264881,-0.360687255859375,0.589111328125,-0.02150529995560646,-0.34942626953125,0.6145401000976562,"{""0"": 153}"
839,1054,108,149,149,0.27960205078125,0.20590214431285858,0.56317138671875,0.293121337890625,0.22138981521129608,0.5816268920898438,"{""0"": 149}"
840,1083,91,145,145,0.3060302734375,0.12158206850290298,0.4617195129394531,0.310150146484375,0.13211064040660858,0.47805213928222656,"{""0"": 145}"
841,307,88,143,143,-0.2014770656824112,0.2657775580883026,0.2927856147289276,-0.1902771145105362,0.2739257514476776,0.3029479682445526,"{""0"": 143}"
842,212,93,139,139,-0.2393188178539276,-0.1877746731042862,0.708343505859375,-0.2287139594554901,-0.1808777004480362,0.718109130859375,"{""0"": 139}"
843,308,85,139,139,-0.2024841457605362,0.2671508491039276,0.2929076850414276,-0.1905212551355362,0.2742309272289276,0.3041534125804901,"{""0"": 139}"
844,813,85,139,139,0.1520843803882599,-0.0800018161535263,0.289154052734375,0.1595154106616974,-0.062019333243370056,0.2937164306640625,"{""0"": 139}"
845,48,89,138,138,-0.317962646484375,0.17297357320785522,0.2787170112133026,-0.30462646484375,0.18075555562973022,0.2904510200023651,"{""0"": 138}"
846,573,89,138,138,-0.03606409206986427,-0.334014892578125,0.569976806640625,-0.023372596129775047,-0.327545166015625,0.5953750610351562,"{""0"": 138}"
847,645,86,138,138,0.011886602267622948,0.1628265231847763,0.18133544921875,0.02082253061234951,0.1737823337316513,0.19476318359375,"{""0"": 138}"
848,583,89,136,136,-0.029405536130070686,-0.347991943359375,0.5506858825683594,-0.02291673794388771,-0.33648681640625,0.5785140991210938,"{""0"": 136}"
849,885,83,134,134,0.18495182693004608,-0.2604980170726776,0.5512924194335938,0.20370487868785858,-0.2549743354320526,0.55999755859375,"{""0"": 134}"
850,1008,81,134,134,0.255615234375,-0.13438411056995392,0.708770751953125,0.2606201171875,-0.12840266525745392,0.7159271240234375,"{""0"": 134}"
851,705,78,131,131,0.06966405361890793,-0.29931640625,0.5434913635253906,0.07534032315015793,-0.286163330078125,0.5503425598144531,"{""0"": 131}"
852,473,79,129,129,-0.10222621262073517,-0.284515380859375,0.5418243408203125,-0.09542079269886017,-0.2684326171875,0.5451774597167969,"{""0"": 129}"
853,993,83,129,129,0.2434997409582138,0.2402344048023224,0.5821685791015625,0.2486572116613388,0.2449493706226349,0.592803955078125,"{""0"": 129}"
854,378,79,126,126,-0.16949458420276642,-0.2834167778491974,0.6617431640625,-0.15460200607776642,-0.2744751274585724,0.6837005615234375,"{""0"": 126}"
855,1066,78,123,123,0.290618896484375,0.11968997120857239,0.28961181640625,0.302642822265625,0.1290588676929474,0.3089599609375,"{""0"": 123}"
856,1082,79,123,123,0.3060302734375,0.12158206850290298,0.4618072509765625,0.3099365234375,0.13182072341442108,0.4744272232055664,"{""0"": 123}"
857,398,75,122,122,-0.15953059494495392,-0.2359161525964737,0.40653228759765625,-0.15072627365589142,-0.2277832180261612,0.41205596923828125,"{""0"": 122}"
